"x"
"AGGRAVATED: HANDGUN"
"AGGRAVATED: OTHER FIREARM"
"AGGRAVATED PO: HANDGUN"
"AGG PRO.EMP: HANDGUN"
"AGG RITUAL MUT:HANDGUN"
"AGGRAVATED PO: OTHER FIREARM"
"AGG PRO.EMP: OTHER FIREARM"
"AGGRAVATED DOMESTIC BATTERY: HANDGUN"
"AGGRAVATED DOMESTIC BATTERY: OTHER FIREARM"
